"h48.45vsD","h48.30vsD and h48.45vsD","h24.45vsD and h48.45vsD","h24.30vsD and h48.45vsD","h8.45vsD and h48.45vsD","h8.30vsD and h48.45vsD","h48.45vsD and h48.30vsD","h48.30vsD","h24.45vsD and h48.30vsD","h24.30vsD and h48.30vsD","h8.45vsD and h48.30vsD","h8.30vsD and h48.30vsD","h48.45vsD and h24.45vsD","h48.30vsD and h24.45vsD","h24.45vsD","h24.30vsD and h24.45vsD","h8.45vsD and h24.45vsD","h8.30vsD and h24.45vsD","h48.45vsD and h24.30vsD","h48.30vsD and h24.30vsD","h24.45vsD and h24.30vsD","h24.30vsD","h8.45vsD and h24.30vsD","h8.30vsD and h24.30vsD","h48.45vsD and h8.45vsD","h48.30vsD and h8.45vsD","h24.45vsD and h8.45vsD","h24.30vsD and h8.45vsD","h8.45vsD","h8.30vsD and h8.45vsD","h48.45vsD and h8.30vsD","h48.30vsD and h8.30vsD","h24.45vsD and h8.30vsD","h24.30vsD and h8.30vsD","h8.45vsD and h8.30vsD","h8.30vsD","h48.30vsD but not h48.45vsD","h24.45vsD but not h48.45vsD","h24.30vsD but not h48.45vsD","h8.45vsD but not h48.45vsD","h8.30vsD but not h48.45vsD","h48.45vsD but not h48.30vsD","h24.45vsD but not h48.30vsD","h24.30vsD but not h48.30vsD","h8.45vsD but not h48.30vsD","h8.30vsD but not h48.30vsD","h48.45vsD but not h24.45vsD","h48.30vsD but not h24.45vsD","h24.30vsD but not h24.45vsD","h8.45vsD but not h24.45vsD","h8.30vsD but not h24.45vsD","h48.45vsD but not h24.30vsD","h48.30vsD but not h24.30vsD","h24.45vsD but not h24.30vsD","h8.45vsD but not h24.30vsD","h8.30vsD but not h24.30vsD","h48.45vsD but not h8.45vsD","h48.30vsD but not h8.45vsD","h24.45vsD but not h8.45vsD","h24.30vsD but not h8.45vsD","h8.30vsD but not h8.45vsD","h48.45vsD but not h8.30vsD","h48.30vsD but not h8.30vsD","h24.45vsD but not h8.30vsD","h24.30vsD but not h8.30vsD","h8.45vsD but not h8.30vsD"
"ACTB","ADGRA3","ADPRM","DHX29","DDIT4","","ADGRA3","ADAMTSL3","ANAPC13","DNAJC8","DDX23","","ADPRM","ANAPC13","ACSL3","CTR9","CPT1A","","DHX29","DNAJC8","CTR9","CTR9","GRB10","","DDIT4","DDX23","CPT1A","GRB10","CHAC1","","","","","","","","DYNC2I1","AIMP2","","SEC23IP","","AHNAK","ADORA2B","ZFP36L1","MID1IP1","","ADORA2A","ANGEL2","","","","ACTMAP","ADCY9","ACTR2","ERCC6L","","ACTMAP","ADCY9","ACTR2","KLHDC8A","","ACTG1","ADCY3","ACSS2","DLGAP5","CSTF2T"
"ACTG1","ADGRE5","ADRA2A","DLGAP5","DDX23","","ADGRE5","ADCY3","ANK3","EID2","DDX24","","ADRA2A","ANK3","ACSS2","DDIT3","CSTF2T","","DLGAP5","EID2","DDIT3","DDIT3","GRPEL2","","DDX23","DDX24","CSTF2T","GRPEL2","CNPPD1","","","","","","","","EFEMP2","AIRIM","","SF3B4","","AK2","ADPRM","","MRPL49","","AEBP1","ANKRD24","","","","ACTN1","ADGRA3","ACTR8","ERN1","","ACTN1","ADGRA3","ACTR8","LARP6","","ACTL6A","ADCY7","ACTB","DNAJA1","CTH"
"ACTL6A","ADGRG1","AGA","DNAJA1","DDX24","","ADGRG1","ADCY7","ANLN","EIF4EBP1","DHX15","","AGA","ANLN","ACTB","DGKD","CTH","","DNAJA1","EIF4EBP1","DGKD","DGKD","GTPBP2","","DDX24","DHX15","CTH","GTPBP2","CPT1A","","","","","","","","ERGIC2","AKR1C1","","SFXN1","","AKR7A2","ADRA2A","","MYC","","AFAP1L2","ANKRD28","","","","ACTR1A","ADGRE5","ACVR2B","FAM219B","","ACTR1A","ADGRE5","ACVR2B","MAFG","","ACTMAP","ADCY9","ACTR1A","DNAJC8","DDIT4"
"ACTMAP","ADGRL1","AGAP1","DNAJC8","DHX15","","ADGRL1","ADCY9","ANP32A","EPRS1","DHX29","","AGAP1","ANP32A","ACTR1A","DHX29","DDIT3","","DNAJC8","EPRS1","DHX29","DHX29","HKDC1","","DHX15","DHX29","DDIT3","HKDC1","CSTF2T","","","","","","","","ERGIC3","AKT1","","SGPL1","","ALDH18A1","AEN","","NAA40","","AFG3L2","ANKRD50","","","","ACTR2","ADGRG1","ADAM15","FEN1","","ACTR2","ADGRG1","ADAM15","MAGED1","","ACTN1","ADGRA3","ACTR2","DOCK6","DDX23"
"ACTN1","ADH5","AGL","DOCK6","DHX29","","ADH5","ADGRA3","ANP32E","ETV5","DNAJA1","","AGL","ANP32E","ACTR2","DLGAP5","DDIT4","","DOCK6","ETV5","DLGAP5","DLGAP5","HRK","","DHX29","DNAJA1","DDIT4","HRK","CTH","","","","","","","","FAM193A","AKTIP","","SKP2","","ALDH1A1","AGA","","NARS1","","AFTPH","ANTXR1","","","","ACTR3","ADGRL1","ADAM17","FHL2","","ACTR3","ADGRL1","ADAM17","MGST1","","ACTR1A","ADGRE5","ACTR8","DTD1","DDX24"
"ACTR1A","ADIPOR1","AGTPBP1","EHD1","DNAJA1","","ADIPOR1","ADGRE5","ANXA5","FECH","DNTTIP2","","AGTPBP1","ANXA5","ACTR8","DNAJA1","DDX23","","EHD1","FECH","DNAJA1","DNAJA1","HSPA9","","DNAJA1","DNTTIP2","DDX23","HSPA9","DDIT3","","","","","","","","FANCD2","ALAD","","SLC25A44","","ALDOC","AGAP1","","NDRG4","","AGO3","ANXA2","","","","ACTRT3","ADH5","ADAMTS15","FUBP1","","ACTRT3","ADH5","ADAMTS15","NDC80","","ACTR2","ADGRG1","ACVR2B","EHD1","DHX15"
"ACTR2","ADK","AHNAK","EID2","DNTTIP2","","ADK","ADGRG1","ANXA6","FGFR2","EID2","","AHNAK","ANXA6","ACVR2B","DNAJC8","DDX24","","EID2","FGFR2","DNAJC8","DNAJC8","IFRD1","","DNTTIP2","EID2","DDX24","IFRD1","DDIT4","","","","","","","","FBLN1","ALDH9A1","","STK40","","ALG14","AGK","","NFIL3","","AGPAT1","AP4B1","","","","ACVR1","ADIPOR1","ADAMTSL3","GOT1","","ACVR1","ADIPOR1","ADAMTSL3","NGRN","","ACTR3","ADGRL1","ADAM15","EID2","DHX29"
"ACTR3","ADM2","AIFM1","EIF4EBP1","EHD1","","ADM2","ADGRL1","AP1G1","FTH1","EIF1","","AIFM1","AP1G1","ADAM15","DOCK6","DHX15","","EIF4EBP1","FTH1","DOCK6","DOCK6","INHBE","","EHD1","EIF1","DHX15","INHBE","DDX23","","","","","","","","FBN3","ALG1L13P","","TARS1","","ALK","AGL","","NFKBIL1","","AGR2","AP5Z1","","","","ADAM15","ADK","ADAP1","GPATCH1","","ADAM15","ADK","ADAP1","NMRAL2P","","ACTRT3","ADH5","ADAM17","EIF4EBP1","DIDO1"
"ACTRT3","ADORA1","AKAP6","EPRS1","EID2","","ADORA1","ADH5","AP3M2","FTL","EIF4EBP1","","AKAP6","AP3M2","ADAM17","DTD1","DHX29","","EPRS1","FTL","DTD1","DTD1","KCNG1","","EID2","EIF4EBP1","DHX29","KCNG1","DDX24","","","","","","","","FGD1","ALOXE3","","TGIF1","","ALKBH3","AGO4","","NKRF","","AK2","APC","","","","ADAM17","ADORA1","ADCY7","GPT2","","ADAM17","ADORA1","ADCY7","NQO1","","ACVR1","ADIPOR1","ADAMTS15","EPRS1","DNAJA1"
"ACVR1","AFAP1L2","AKNA","ETV5","EIF1","","AFAP1L2","ADIPOR1","APEX1","G3BP2","EPRS1","","AKNA","APEX1","ADAMTS15","EHD1","DIDO1","","ETV5","G3BP2","EHD1","EHD1","KIF20A","","EIF1","EPRS1","DIDO1","KIF20A","DHX15","","","","","","","","FUT10","AMOTL2","","TNS2-AS1","","ALKBH7","AGTRAP","","PGRMC1","","AKR7A2","APOE","","","","ADAMTS15","AFAP1L2","ADCY9","GTF3C1","","ADAMTS15","AFAP1L2","ADCY9","OSGIN1","","ADAM15","ADK","ADAMTSL3","ETV5","DNTTIP2"
"ADAM15","AFG3L2","ALAS1","FECH","EIF4EBP1","","AFG3L2","ADK","API5","GADD45A","ERN1","","ALAS1","API5","ADAMTSL3","EID2","DNAJA1","","FECH","GADD45A","EID2","EID2","KIF21B","","EIF4EBP1","ERN1","DNAJA1","KIF21B","DHX29","","","","","","","","GABARAPL2","ANAPC1P2","","TSC22D1","","ALS2","AHCYL1","","PLRG1","","ALCAM","APOL6","","","","ADAMTS8","AFG3L2","ADD1","H2AX","","ADAMTS8","AFG3L2","ADD1","P2RX4","","ADAM17","ADORA1","ADAP1","FECH","DOLK"
"ADAM17","AGPAT1","ALDH18A1","FGFR2","EPRS1","","AGPAT1","ADM2","ARCN1","GARS1","FAM219B","","ALDH18A1","ARCN1","ADAP1","EIF4EBP1","DNTTIP2","","FGFR2","GARS1","EIF4EBP1","EIF4EBP1","KLF4","","EPRS1","FAM219B","DNTTIP2","KLF4","DIDO1","","","","","","","","GBA1LP","ANAPC2","","TTC39B","","AMMECR1L","AHDC1","","PPM1A","","ALDH3A2","ARAP3","","","","ADAMTS9","AGPAT1","ADGRG1","HAX1","","ADAMTS9","AGPAT1","ADGRG1","PAQR5","","ADAMTS15","AFAP1L2","ADCY7","FGFR2","EDC4"
"ADAMTS15","AGR2","ALDH1A1","FTH1","ERCC6L","","AGR2","ADORA1","ARHGAP11A","GAS1","FGFR2","","ALDH1A1","ARHGAP11A","ADCY7","EPRS1","DOLK","","FTH1","GAS1","EPRS1","EPRS1","LINC00958","","ERCC6L","FGFR2","DOLK","LINC00958","DNAJA1","","","","","","","","GDE1","ANKFN1","","TXNIP","","AMOT","AHNAK","","PXMP4","","ALDOA","ARHGAP1","","","","ADAMTSL5","AGR2","ADGRL2","HERPUD1","","ADAMTSL5","AGR2","ADGRL2","PCAT1","","ADAMTS8","AFG3L2","ADCY9","FTH1","EHD1"
"ADAMTS8","AGTPBP1","ALDH1L2","FTL","ERN1","","AGTPBP1","AFAP1L2","ARHGAP19","GDF15","FUBP1","","ALDH1L2","ARHGAP19","ADCY9","ETV5","EDC4","","FTL","GDF15","ETV5","ETV5","LMO4","","ERN1","FUBP1","EDC4","LMO4","DNTTIP2","","","","","","","","GPX8","ANKFY1","","UBAP2L","","AMOTL1","AHSA1","","QRICH1","","ALG14","ARHGEF1","","","","ADCY3","AGTPBP1","ADIPOR2","HES6","","ADCY3","AGTPBP1","ADIPOR2","PLIN4","","ADAMTS9","AGPAT1","ADD1","FTL","EID2"
"ADAMTS9","AIFM1","ALDH2","G3BP2","FAM219B","","AIFM1","AFG3L2","ARHGAP9","GJB6","G3BP2","","ALDH2","ARHGAP9","ADD1","FECH","EHD1","","G3BP2","GJB6","FECH","FECH","LONP1","","FAM219B","G3BP2","EHD1","LONP1","DOLK","","","","","","","","GRK2","ANKMY1","","UNC5B","","ANAPC15","AIFM2","","RANBP6","","ALK","ARHGEF11","","","","ADCY7","AIFM1","ADO","HSPA13","","ADCY7","AIFM1","ADO","RBCK1","","ADAMTSL5","AGR2","ADGRG1","G3BP2","EIF1"
"ADAMTSL5","AKAP6","ALDOC","GADD45A","FEN1","","AKAP6","AGPAT1","ARHGEF2","GRPEL2","GADD45A","","ALDOC","ARHGEF2","ADGRG1","FGFR2","EID2","","GADD45A","GRPEL2","FGFR2","FGFR2","LONRF1","","FEN1","GADD45A","EID2","LONRF1","EDC4","","","","","","","","GTF2H5","ANKRD11","","XBP1","","ANAPC16","AIMP2","","RASD1","","ALKBH7","ARHGEF3","","","","ADCY9","AKAP6","ADORA1","HSPA1A","","ADCY9","AKAP6","ADORA1","RGS20","","ADCY3","AGTPBP1","ADGRL2","GADD45A","EIF2S2"
"ADCY3","AKNA","ALKBH3","GARS1","FGFR2","","AKNA","AGR2","ARL1","GTPBP2","GARS1","","ALKBH3","ARL1","ADGRL2","FTH1","EIF1","","GARS1","GTPBP2","FTH1","FTH1","MORN4","","FGFR2","GARS1","EIF1","MORN4","EHD1","","","","","","","","H3C14","ANKRD27","","ZFP36L1","","ANKH","AIRIM","","SAR1A","","ALS2","ARMC1","","","","ADGRA3","ALCAM","ADORA2B","HSPA8","","ADGRA3","ALCAM","ADORA2B","SEL1L3","","ADCY7","AIFM1","ADIPOR2","GARS1","EIF4EBP1"
"ADCY7","ALAS1","AMIGO1","GAS1","FUBP1","","ALAS1","AGTPBP1","ARL3","H3C14","GDF15","","AMIGO1","ARL3","ADIPOR2","FTL","EIF2S2","","GAS1","H3C14","FTL","FTL","MSC","","FUBP1","GDF15","EIF2S2","MSC","EID2","","","","","","","","H4C8","ANKS1A","","ZMYM3","","ANKIB1","AKR1C1","","SF3B4","","AMD1","ARRDC3-AS1","","","","ADGRE5","ALDH1L2","ADPRM","HSPH1","","ADGRE5","ALDH2","ADPRM","SFXN3","","ADCY9","AKAP6","ADO","GAS1","EPRS1"
"ADCY9","ALCAM","AMMECR1","GCLC","G3BP2","","ALCAM","AIFM1","ARL6IP1","HKDC1","GJB6","","AMMECR1","ARL6IP1","ADM2","G3BP2","EIF4EBP1","","GCLC","HKDC1","G3BP2","G3BP2","MTHFD1L","","G3BP2","GJB6","EIF4EBP1","MTHFD1L","EIF1","","","","","","","","HELZ2","ANOS1","","ZNF419","","ANKRA2","AKT1","","SFXN1","","ANAPC15","ARSA","","","","ADGRG1","ALDH2","ADRA2A","JDP2","","ADGRG1","ALDH3A2","ADRA2A","SLC12A8","","ADGRA3","AKNA","ADORA1","GBF1","ERCC6L"
"ADGRA3","ALDH1L2","AMMECR1L","GDF15","GADD45A","","ALDH1L2","AKAP6","ARPC5","HOXB9","GPT2","","AMMECR1L","ARPC5","ADO","GADD45A","EPRS1","","GDF15","HOXB9","GADD45A","GADD45A","MTHFD2","","GADD45A","GPT2","EPRS1","MTHFD2","EIF2S2","","","","","","","","HOXA10-AS","ANXA3","","ZNF530","","ANKRD13B","AKTIP","","SGPL1","","ANGEL2","ASAP1","","","","ADGRL1","ALDH3A2","AEN","JMJD6","","ADGRL1","ALDOA","AEN","SLC43A1","","ADGRE5","ALAS1","ADORA2B","GCLC","ERN1"
"ADGRE5","ALDH2","AMOT","GJB6","GARS1","","ALDH2","AKNA","ASMTL","HRK","GRPEL2","","AMOT","ASMTL","ADORA1","GARS1","ERCC6L","","GJB6","HRK","GARS1","GARS1","NARS1","","GARS1","GRPEL2","ERCC6L","NARS1","EIF4EBP1","","","","","","","","HSD11B1L","ANXA7","","","","ANKRD2","ALAD","","SKP2","","ANKH","ASCC2","","","","ADGRL2","ALDOA","AGA","KBTBD4","","ADGRL2","AMD1","AGA","SNHG32","","ADGRG1","ALCAM","ADPRM","GDF15","FAM219B"
"ADGRG1","ALDH3A2","AMOTL1","GRB10","GCLC","","ALDH3A2","ALAS1","ASNS","IARS1","GTPBP2","","AMOTL1","ASNS","ADORA2B","GAS1","ERN1","","GRB10","IARS1","GAS1","GAS1","NUPR1","","GCLC","GTPBP2","ERN1","NUPR1","EPRS1","","","","","","","","ICE1","ANXA9","","","","ANKRD33BP8","ALDH18A1","","SLC25A24","","ANKIB1","ASF1A","","","","ADH5","AMD1","AGAP1","KDM4A","","ADH5","AMIGO1","AGAP1","SPAG5","","ADGRL1","ALDH1L2","ADRA2A","GJB6","FEN1"
"ADGRL1","ALDOA","ANAPC13","GRPEL2","GDF15","","ALDOA","ALCAM","ASNSP1","IFRD1","H2AX","","ANAPC13","ASNSP1","ADPRM","GBF1","FAM219B","","GRPEL2","IFRD1","GBF1","GBF1","PCK2","","GDF15","H2AX","FAM219B","PCK2","ERCC6L","","","","","","","","IFI6","AP1M2","","","","ANKRD34B","ALDH1A1","","SLC25A44","","ANKRD13B","ATP10B","","","","ADIPOR1","AMIGO1","AGK","KLF15","","ADIPOR1","AMMECR1","AGK","SPATS2","","ADGRL2","ALDH2","AEN","GRB10","FGFR2"
"ADGRL2","AMD1","ANAPC16","GTPBP2","GJB6","","AMD1","ALDH1L2","ASPM","IK","HAX1","","ANAPC16","ASPM","ADRA2A","GCLC","FEN1","","GTPBP2","IK","GCLC","GCLC","PCNX2","","GJB6","HAX1","FEN1","PCNX2","ERN1","","","","","","","","IMMT","AP4M1","","","","ANKRD42","ALDH9A1","","STK40","","ANKRD2","ATP2B1","","","","ADK","AMMECR1","AGL","KLF9","","ADK","ANAPC13","AGL","SQSTM1","","ADH5","ALDH3A2","AGA","GRPEL2","FHL2"
"ADH5","AMIGO1","ANK3","HKDC1","GPT2","","AMIGO1","ALDH2","ATAD1","INHBE","HERPUD1","","ANK3","ATAD1","AEN","GDF15","FGFR2","","HKDC1","INHBE","GDF15","GDF15","PGPEP1","","GPT2","HERPUD1","FGFR2","PGPEP1","FAM219B","","","","","","","","ING2","AP5M1","","","","ANO10","ALDOC","","TARS1","","ANKRD24","ATP5F1B","","","","ADO","ANAPC13","AGO4","KPNA2","","ADO","ANGEL2","AGO4","SRXN1","","ADIPOR1","ALDOA","AGAP1","GTPBP2","FUBP1"
"ADIPOR1","AMMECR1","ANKRA2","HOXB9","GRB10","","AMMECR1","ALDH3A2","ATN1","KCNG1","HKDC1","","ANKRA2","ATN1","AGA","GJB6","FHL2","","HOXB9","KCNG1","GJB6","GJB6","PPP1R15A","","GRB10","HKDC1","FHL2","PPP1R15A","FEN1","","","","","","","","INPP1","APAF1","","","","ANO6","ALG1L13P","","TGIF1","","ANKRD28","ATP5F1D","","","","ADORA1","ANGEL2","AGTPBP1","LDHA","","ADORA1","ANK3","AGTPBP1","TCEA1","","ADK","AMD1","AGK","H3C14","G3BP2"
"ADK","ANAPC13","ANLN","HRK","GRPEL2","","ANAPC13","ALDOA","ATP11C","KIF20A","HRK","","ANLN","ATP11C","AGAP1","GRB10","FUBP1","","HRK","KIF20A","GRB10","GRB10","PYCR1","","GRPEL2","HRK","FUBP1","PYCR1","FGFR2","","","","","","","","IQGAP3","APBA3","","","","ANXA1","ALKBH3","","TNS2-AS1","","ANKRD33BP8","ATP5F1E","","","","ADORA2A","ANK3","AGTRAP","LEMD3","","ADORA2A","ANKRD24","AGTRAP","TMEM139","","ADO","AMIGO1","AGL","HKDC1","GADD45A"
"ADM2","ANGEL2","ANP32A","HSPA9","GTPBP2","","ANGEL2","AMD1","ATP2C2","KIF21B","HSPA1A","","ANP32A","ATP2C2","AGK","GRPEL2","G3BP2","","HSPA9","KIF21B","GRPEL2","GRPEL2","PYCR2","","GTPBP2","HSPA1A","G3BP2","PYCR2","FHL2","","","","","","","","ITGA1","AQP11","","","","AOC2","ALOXE3","","TRIM24","","ANKRD34B","ATP5MC2","","","","ADPRM","ANKRD24","AHCYL1","LINC00662","","ADPRM","ANKRD28","AHCYL1","TMPRSS3","","ADORA1","AMMECR1","AGO4","HOXB9","GARS1"
"ADO","ANK3","ANP32E","IARS1","H2AX","","ANK3","AMIGO1","ATP5F1A","KLF4","HSPA8","","ANP32E","ATP5F1A","AGL","GTPBP2","GADD45A","","IARS1","KLF4","GTPBP2","GTPBP2","RASD1","","H2AX","HSPA8","GADD45A","RASD1","FUBP1","","","","","","","","JMJD6","AQP5","","","","AP1S3","AMMECR1L","","TSC22D1","","ANKRD42","ATP7B","","","","ADRA2A","ANKRD28","AHDC1","LINC01145","","ADRA2A","ANKRD50","AHDC1","TRIM16L","","ADORA2A","ANAPC13","AGTPBP1","HRK","GBF1"
"ADORA1","ANKRD24","ANXA5","IFRD1","HAX1","","ANKRD24","AMMECR1","ATP5F1C","KLHDC8A","HSPH1","","ANXA5","ATP5F1C","AGO4","H3C14","GARS1","","IFRD1","KLHDC8A","H3C14","H3C14","RBBP8","","HAX1","HSPH1","GARS1","RBBP8","G3BP2","","","","","","","","KIF16B","ARCN1","","","","AP2M1","AMOT","","TSEN15","","ANKRD50","B4GALT1","","","","AEBP1","ANKRD50","AHNAK","LRATD2","","AEBP1","ANP32A","AHNAK","UCHL1","","ADPRM","ANGEL2","AGTRAP","HSPA9","GCLC"
"ADORA2A","ANKRD28","ANXA6","IK","HERPUD1","","ANKRD28","ANAPC13","ATP5MC1","LARP6","IFRD1","","ANXA6","ATP5MC1","AGTPBP1","HKDC1","GBF1","","IK","LARP6","HKDC1","HKDC1","RHBDD1","","HERPUD1","IFRD1","GBF1","RHBDD1","GADD45A","","","","","","","","KLHDC4","AREG","","","","AP3S2","AMOTL1","","TTC39B","","ANO10","B9D2","","","","AFAP1L2","ANLN","AHSA1","LURAP1L","","AFAP1L2","ANP32E","AHSA1","WDR45","","ADRA2A","ANK3","AHCYL1","IARS1","GDF15"
"ADPRM","ANKRD50","AP1G1","INHBE","HKDC1","","ANKRD50","ANGEL2","ATP5MC3","LINC00958","INHBE","","AP1G1","ATP5MC3","AGTRAP","HOXB9","GCLC","","INHBE","LINC00958","HOXB9","HOXB9","RNF41","","HKDC1","INHBE","GCLC","RNF41","GARS1","","","","","","","","KLLN","ARF6","","","","AP5B1","AMOTL2","","TXNIP","","ANO6","BAIAP2","","","","AFG3L2","ANP32A","AIFM1","MBIP","","AFG3L2","ANTXR1","AIFM1","WT1","","AEBP1","ANKRD24","AHDC1","IFRD1","GJB6"
"ADRA2A","ANLN","AP1S3","KCNG1","HRK","","ANLN","ANK3","ATP5MF","LONP1","JDP2","","AP1S3","ATP5MF","AHCYL1","HRK","GDF15","","KCNG1","LONP1","HRK","HRK","SARS1","","HRK","JDP2","GDF15","SARS1","GBF1","","","","","","","","KRT7-AS","ARG2","","","","APLN","ANAPC16","","UBAP2L","","ANTXR1","BAIAP2L2","","","","AFTPH","ANP32E","AIFM2","METAP2","","AFTPH","ANXA2","AIFM2","","","AFAP1L2","ANKRD28","AHNAK","IK","GOT1"
"AEBP1","ANP32A","AP3M2","KIF20A","HSPA13","","ANP32A","ANKRD24","ATP5MG","LONRF1","JMJD6","","AP3M2","ATP5MG","AHDC1","HSPA9","GJB6","","KIF20A","LONRF1","HSPA9","HSPA9","SCN4A","","HSPA13","JMJD6","GJB6","SCN4A","GCLC","","","","","","","","LGALS3BP","ARHGAP33","","","","APOA1","ANAPC1P2","","UNC5B","","ANXA1","BAZ2A","","","","AGA","ANTXR1","AIMP2","MFSD5","","AGA","ANXA5","AIMP2","","","AFG3L2","ANKRD50","AHSA1","KIF20A","GPATCH1"
"AFAP1L2","ANP32E","APEX1","KIF21B","HSPA1A","","ANP32E","ANKRD28","ATP5MJ","MAFG","KBTBD4","","APEX1","ATP5MJ","AHNAK","IARS1","GOT1","","KIF21B","MAFG","IARS1","IARS1","SESN2","","HSPA1A","KBTBD4","GOT1","SESN2","GDF15","","","","","","","","LOC124904411","ARIH1","","","","APOO","ANAPC2","","UPP1","","ANXA2","BBS2","","","","AGAP1","ANXA2","AIRIM","MGAT2","","AGAP1","ANXA6","AIRIM","","","AFTPH","ANLN","AIFM1","KIF21B","GPT2"
"AFG3L2","ANTXR1","API5","KLF4","HSPA8","","ANTXR1","ANKRD50","ATP5PB","MAGED1","KCNG1","","API5","ATP5PB","AHSA1","IFRD1","GPT2","","KLF4","MAGED1","IFRD1","IFRD1","SFPQ","","HSPA8","KCNG1","GPT2","SFPQ","GJB6","","","","","","","","LRRC26","ARMC10","","","","APP","ANKFN1","","WBP11","","AOC2","BIRC3","","","","AGL","ANXA5","AKAP6","MID1IP1","","AGL","AP3M2","AKAP6","","","AGA","ANP32A","AIFM2","KLF4","GRB10"
"AFTPH","ANXA2","APLN","KLHDC8A","HSPA9","","ANXA2","ANLN","ATP5PD","MORN4","KDM4A","","APLN","ATP5PD","AIFM1","IK","GRB10","","KLHDC8A","MORN4","IK","IK","SHMT2","","HSPA9","KDM4A","GRB10","SHMT2","GOT1","","","","","","","","MAD2L1BP","ARMC5","","","","AQP5-AS1","ANKFY1","","WDR33","","AP2M1","BMS1","","","","AGO3","ANXA6","AKR1C1","MOB4","","AGO3","AP4B1","AKR1C1","","","AGAP1","ANP32E","AIMP2","KLHDC8A","GRPEL2"
"AGA","ANXA5","AQP5-AS1","LARP6","HSPH1","","ANXA5","ANP32A","ATP5PF","MSC","KIF20A","","AQP5-AS1","ATP5PF","AIFM2","INHBE","GRPEL2","","LARP6","MSC","INHBE","INHBE","SLC1A4","","HSPH1","KIF20A","GRPEL2","SLC1A4","GPATCH1","","","","","","","","MAPK8IP1","ARMCX6","","","","AR","ANKMY1","","XBP1","","AP3S2","BNIP3L","","","","AGPAT1","AP1G1","AKT1","MRPL49","","AGPAT1","AP5Z1","AKT1","","","AGL","ANTXR1","AIRIM","LARP6","GTF3C1"
"AGAP1","ANXA6","AR","LINC00958","IFRD1","","ANXA6","ANP32E","ATP5PO","MTHFD1L","KIF21B","","AR","ATP5PO","AIMP2","KCNG1","GTF3C1","","LINC00958","MTHFD1L","KCNG1","KCNG1","SLC1A5","","IFRD1","KIF21B","GTF3C1","SLC1A5","GPT2","","","","","","","","MARVELD1","ARRB1","","","","ARF1","ANKRA2","","ZFP36L1","","AP4B1","BRIX1","","","","AGR2","AP4B1","AKTIP","MTCL2","","AGR2","APC","AKTIP","","","AGO3","ANXA2","AKAP6","LINC00958","GTPBP2"
"AGL","AP1G1","ARFGEF3","LONP1","INHBE","","AP1G1","ANTXR1","ATP6V0E1","MTHFD2","KLF15","","ARFGEF3","ATP6V0E1","AIRIM","KIF20A","GTPBP2","","LONP1","MTHFD2","KIF20A","KIF20A","SLC3A2","","INHBE","KLF15","GTPBP2","SLC3A2","GRB10","","","","","","","","METTL14","ARVCF","","","","ARFGEF3","ANKRD11","","ZMYM3","","AP5B1","BST2","","","","AGTPBP1","AP5Z1","ALAD","MUS81","","AGTPBP1","APEX1","ALAD","","","AGPAT1","ANXA5","AKNA","LMO4","H2AX"
"AGO3","AP3M2","ARHGAP11A","LONRF1","JDP2","","AP3M2","ANXA2","ATP6V1D","NDC80","KLF4","","ARHGAP11A","ATP6V1D","AKAP6","KIF21B","H2AX","","LONRF1","NDC80","KIF21B","KIF21B","SLC7A1","","JDP2","KLF4","H2AX","SLC7A1","GRPEL2","","","","","","","","MFSD4B","ASF1B","","","","ARHGAP11B","ANKRD27","","ZNF419","","AP5Z1","BTF3","","","","AHNAK","APC","ALDH18A1","MYC","","AHNAK","API5","ALDH18A1","","","AGR2","ANXA6","AKR1C1","LONP1","HAX1"
"AGPAT1","AP4B1","ARHGAP19","MAFG","KBTBD4","","AP4B1","ANXA5","ATXN2L","NGRN","KPNA2","","ARHGAP19","ATXN2L","AKNA","KLF4","HAX1","","MAFG","NGRN","KLF4","KLF4","SLC7A11","","KBTBD4","KPNA2","HAX1","SLC7A11","GTF3C1","","","","","","","","MRPS22","ASS1","","","","ARHGAP23","ANKS1A","","ZNF530","","APC","BZW1","","","","AIFM1","APEX1","ALDH1A1","NAA40","","AIFM1","APOE","ALDH1A1","","","AGTPBP1","AP1G1","AKT1","LONRF1","HERPUD1"
"AGR2","AP5Z1","ARHGAP9","MAGED1","KCNG1","","AP5Z1","ANXA6","AUP1","NMRAL2P","LDHA","","ARHGAP9","AUP1","AKR1C1","KLHDC8A","HERPUD1","","MAGED1","NMRAL2P","KLHDC8A","KLHDC8A","SNHG29","","KCNG1","LDHA","HERPUD1","SNHG29","GTPBP2","","","","","","","","MRPS36","ASXL1","","","","ARHGAP24","ANOS1","","ZNF672","","APOA1","BZW2","","","","AK2","API5","ALDH1L2","ND2","","AK2","APOL6","ALDH2","","","AHNAK","AP3M2","AKTIP","MAFG","HES6"
